101 ; NHN884 ; Nguyen Hong Nhung ; 01/12/2024 ; 05/12/2024 ; 1890000 ;
102 ; TVB789 ; Tran Van Binh ; 02/12/2024 ; 06/12/2024 ; 1890000 ;
103 ; LMC678 ; Le Thi Minh Chau ; 03/12/2024 ; 07/12/2024 ; 1890000 ;
104 ; HDA321 ; Hoang Duc Anh ; 04/12/2024 ; 08/12/2024 ; 3780000 ;
105 ; PTN678 ; Pham Thi Nhung ; 05/12/2024 ; 09/12/2024 ; 3780000 ;
201 ; NVD432 ; Nguyen Van Dung ; 06/12/2024 ; 10/12/2024 ; 1890000 ;
202 ; TTH210 ; Tran Thi Hong ; 07/12/2024 ; 11/12/2024 ; 1890000 ;
203 ; LVA781 ; Le Van Anh ; 08/12/2024 ; 12/12/2024 ; 1890000 ;
204 ; PTB321 ; Pham Thi Binh ; 09/12/2024 ; 13/12/2024 ; 3780000 ;
205 ; HVC890 ; Hoang Van Chau ; 10/12/2024 ; 14/12/2024 ; 3780000 ;
301 ; NTL285 ; Nguyen Thi Lan ; 11/12/2024 ; 15/12/2024 ; 1890000 ;
302 ; LHA427 ; Le Hong Anh ; 12/12/2024 ; 16/12/2024 ; 1890000 ;
303 ; TVD589 ; Tran Van Duc ; 13/12/2024 ; 17/12/2024 ; 1890000 ;
304 ; PHL740 ; Pham Hong Lan ; 14/12/2024 ; 18/12/2024 ; 3780000 ;
305 ; NTH269 ; Nguyen Thi Hoa ; 15/12/2024 ; 19/12/2024 ; 3780000 ;
401 ; HVD890 ; Hoang Van Duc ; 16/12/2024 ; 20/12/2024 ; 1890000 ;
402 ; TMA427 ; Tran Minh Anh ; 17/12/2024 ; 21/12/2024 ; 1890000 ;
403 ; LTM394 ; Le Thi Minh ; 18/12/2024 ; 22/12/2024 ; 1890000 ;
404 ; PTH985 ; Pham Thi Huong ; 19/12/2024 ; 23/12/2024 ; 3780000 ;
405 ; HVT576 ; Hoang Van Tung ; 20/12/2024 ; 24/12/2024 ; 3780000 ;
201 ; TVA238 ; Tran Van An ; 21/12/2024 ; 25/12/2024 ; 1890000 ;
202 ; PHD563 ; Pham Hong Dung ; 22/12/2024 ; 26/12/2024 ; 1890000 ;
203 ; LTA901 ; Le Thi Anh ; 23/12/2024 ; 27/12/2024 ; 1890000 ;
204 ; NTB652 ; Nguyen Thi Binh ; 24/12/2024 ; 28/12/2024 ; 3780000 ;
205 ; TVT486 ; Tran Van Toan ; 25/12/2024 ; 29/12/2024 ; 3780000 ;
301 ; PTA798 ; Pham Thi An ; 26/12/2024 ; 30/12/2024 ; 1890000 ;
302 ; HVC914 ; Hoang Van Chinh ; 27/12/2024 ; 01/01/2025 ; 1890000 ;
303 ; LTH428 ; Le Thi Hanh ; 28/12/2024 ; 02/01/2025 ; 1890000 ;
304 ; NVD372 ; Nguyen Van Dai ; 29/12/2024 ; 03/01/2025 ; 3780000 ;
305 ; PTN512 ; Pham Thi Nga ; 30/12/2024 ; 04/01/2025 ; 3780000 ;
401 ; THT839 ; Tran Hong Thao ; 01/01/2025 ; 05/01/2025 ; 1890000 ;
402 ; HTH952 ; Hoang Thi Hong ; 02/01/2025 ; 06/01/2025 ; 1890000 ;
403 ; NHN884 ; Nguyen Hong Nhung ; 03/01/2025 ; 07/01/2025 ; 1890000 ;
404 ; LTM519 ; Le Thi Mai ; 04/01/2025 ; 08/01/2025 ; 3780000 ;
405 ; PTT203 ; Pham Thi Thu ; 05/01/2025 ; 09/01/2025 ; 3780000 ;
501 ; TVT436 ; Tran Van Tuan ; 06/01/2025 ; 10/01/2025 ; 1890000 ;
502 ; LTH698 ; Le Thi Huong ; 07/01/2025 ; 11/01/2025 ; 1890000 ;
503 ; PTT659 ; Phan Thi Tuyet ; 08/01/2025 ; 12/01/2025 ; 1890000 ;
